symbol,category,regime,signal_date,sector_ticker,ablated_score,exit_reason,strategy_return_pct,days_held,entry_price,target1,stop_loss,target_distance_pct,stop_distance_pct,atr_pct,support20,resistance20,high52w,factor__Market Regime,factor__Sector Strength,factor__Momentum,factor__Price Structure,factor__Volume Confirmation,factor__Relative Strength,factor__Volatility Profile,factor__Risk/Reward Quality,factor__Price Trend,factor__Volume Trend,dist_resistance_pct,dist_52w_high_pct
NTPC,Short-Term (Swing),BULLISH,2025-03-20,^CNXENERGY,74.0,target1,1.7982456140350767,0,342.0,348.15,329.39,1.7982456140350767,3.6871345029239833,2.411641447676927,306.54998779296875,344.70001220703125,448.45001220703125,0.8533333333333334,1.0,0.85,0.7466666666666666,0.5,1.0,1.0,0.05,,,0.7894772535179093,31.125734563459428
NTPC,Short-Term (Swing),BULLISH,2025-03-24,^CNXENERGY,75.1,stop_loss,-4.254742547425472,1,369.0,371.68,353.3,0.7262872628726269,4.254742547425472,2.480404932434188,306.54998779296875,368.0,448.45001220703125,0.8533333333333334,1.0,0.35,1.0,1.0,1.0,1.0,0.03,,,-0.27100271002710025,21.531168619791664
NTPC,Short-Term (Swing),BULLISH,2025-03-27,^CNXENERGY,82.0,stop_loss,-4.4088397790055245,10,362.0,375.16,346.04,3.6353591160221077,4.4088397790055245,2.700427138921739,306.54998779296875,371.45001220703125,448.45001220703125,0.8533333333333334,1.0,0.85,0.7466666666666666,1.0,1.0,1.0,0.1,,,2.610500609677141,23.881218841721342
NTPC,Short-Term (Swing),STRONG_BULLISH,2025-06-27,^CNXENERGY,61.5,stop_loss,-2.084884586746094,29,335.75,346.03,328.75,3.061801935964259,2.084884586746094,1.881279482311415,321.3500061035156,342.6000061035156,448.45001220703125,1.0,0.6,0.85,0.0,1.0,0.27,1.0,0.08,,,2.0402103063337678,33.56664548236225
NTPC,Short-Term (Swing),STRONG_BULLISH,2025-09-23,^CNXENERGY,60.8,target1,1.2350749658599725,0,343.29998779296875,347.54,335.84,1.2350749658599725,2.1730230289048524,1.391212257539024,323.6499938964844,344.1000061035156,448.45001220703125,1.0,1.0,0.85,0.0,0.5,0.5700000000000001,1.0,0.06,,,0.2330376752093961,30.629195500430516
NTPC,Short-Term (Swing),STRONG_BULLISH,2025-10-07,^CNXENERGY,70.6,target1,2.7236551215917393,21,339.25,348.49,330.13,2.7236551215917393,2.6882829771554873,1.552462941114959,323.6499938964844,350.79998779296875,442.5,1.0,0.6,0.5,0.7466666666666666,1.0,0.71,1.0,0.13,,,3.404565303749079,30.434782608695656
NTPC,Short-Term (Swing),STRONG_BULLISH,2025-12-22,^CNXENERGY,63.3,target1,2.5354345169078085,8,321.04998779296875,329.19,314.34,2.5354345169078085,2.0900134085336752,1.3230430869980638,315.54998779296875,329.95001220703125,371.45001220703125,1.0,0.6,0.85,0.5466666666666666,0.5,0.32999999999999996,1.0,0.13,,,2.7721615799598602,15.698497533213828
NTPC,Short-Term (Swing),STRONG_BULLISH,2026-01-01,^CNXENERGY,63.6,target1,1.0302886973868386,0,336.79998779296875,340.27,329.78,1.0302886973868386,2.0843194915090013,1.291802992324268,315.54998779296875,336.8999938964844,371.45001220703125,1.0,1.0,0.85,0.0,0.5,0.85,1.0,0.06,,,0.029693024685350893,10.288012372305042
NTPC,Short-Term (Swing),STRONG_BULLISH,2026-01-05,^CNXENERGY,63.0,stop_loss,-2.0863086664254182,2,349.8999938964844,358.35,342.6,2.414977493830861,2.0863086664254182,1.5213599809776368,315.54998779296875,354.79998779296875,371.45001220703125,1.0,1.0,0.35,0.0,1.0,1.0,1.0,0.1,,,1.4003983943863703,6.158907884097394
NTPC,Short-Term (Swing),HIGH_VOLATILITY,2026-01-14,^CNXENERGY,65.2,stop_loss,-2.7499300875603594,5,349.1000061035156,358.35,339.5,2.6496687868122093,2.7499300875603594,1.8339591495296526,317.0,354.79998779296875,371.45001220703125,0.3,0.15,0.85,0.7466666666666666,1.0,1.0,1.0,0.1,,,1.6327647063297268,6.402178663064351
NTPC,Short-Term (Swing),HIGH_VOLATILITY,2026-01-29,^CNXENERGY,80.0,stop_loss,-3.3036211699164375,3,359.0,364.11,347.14,1.4233983286908058,3.3036211699164375,2.048855425537287,329.6000061035156,360.5,371.45001220703125,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.05,,,0.4178272980501393,3.4679699741034122
NTPC,Short-Term (Swing),HIGH_VOLATILITY,2026-02-04,^CNXENERGY,69.4,target1,0.6734279918864106,15,369.75,372.24,353.95,0.6734279918864106,4.2731575388776255,2.4147545447162524,333.70001220703125,368.54998779296875,371.45001220703125,0.3,1.0,0.85,1.0,0.5,1.0,1.0,0.04,,,-0.32454691197599733,0.45977341637085867
NTPC,Short-Term (Swing),HIGH_VOLATILITY,2026-02-23,^CNXENERGY,68.6,target1,1.416185523428326,0,374.95001220703125,380.26,364.72,1.416185523428326,2.728366948654115,1.9057952365443827,337.04998779296875,376.5,376.5,0.3,1.0,1.0,0.7466666666666666,0.5,1.0,1.0,0.04,,,0.41338518269281016,0.41338518269281016
NTPC,Short-Term (Swing),HIGH_VOLATILITY,2026-03-05,^CNXENERGY,62.8,target1,4.095490716180361,7,377.0,392.44,365.01,4.095490716180361,3.1803713527851496,2.300372896412137,361.0,388.54998779296875,388.54998779296875,0.3,0.6,0.5,0.7466666666666666,1.0,1.0,1.0,0.11000000000000001,,,3.0636572395142574,3.0636572395142574
NTPC,Short-Term (Swing),BULLISH,2026-04-22,^CNXENERGY,75.1,target1,1.8118811881188135,4,404.0,411.32,390.55,1.8118811881188135,3.3292079207920766,2.4419104202007524,352.0,407.25,407.25,0.8533333333333334,1.0,0.85,1.0,0.5,0.74,1.0,0.04,,,0.8044554455445545,0.8044554455445545
NTPC,Short-Term (Swing),NEUTRAL,2026-05-01,^CNXENERGY,61.4,stop_loss,-3.497499999999998,9,400.0,416.67,386.01,4.167500000000013,3.497499999999998,2.194475006597669,352.0,414.3999938964844,414.3999938964844,0.5466666666666666,1.0,0.85,0.7466666666666666,0.0,0.8699999999999999,1.0,0.13,,,3.5999984741210938,3.5999984741210938
NTPC,Short-Term (Swing),BULLISH,2026-05-27,^CNXENERGY,70.2,stop_loss,-3.099332936243282,1,398.1499938964844,409.15,385.81,2.762779422866335,3.099332936243282,2.065988548909031,384.0,405.1000061035156,414.3999938964844,0.8533333333333334,1.0,0.5,0.7466666666666666,1.0,0.53,1.0,0.09,,,1.745576369100283,4.0813764282575535
ONGC,Short-Term (Swing),STRONG_BULLISH,2024-07-09,^CNXENERGY,65.7,target1,2.1121079530006748,1,299.70001220703125,306.03,284.78,2.1121079530006748,4.978315515290877,2.839879799527889,263.5,303.0,303.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.06999999999999999,,,1.1010969831690014,1.1010969831690014
