symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
APOLLOHOSP,Long-Term,2026-06-08,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-06-03,2026-06-04,2026-06-09,target1,Long-Term
ASIANPAINT,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-21,2026-04-22,2026-07-22,time_exit,Long-Term
ASIANPAINT,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-21,2026-04-22,2026-07-22,time_exit,Long-Term
AXISBANK,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-06,2026-04-07,2026-07-07,time_exit,Long-Term
AXISBANK,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-04-06,2026-04-07,2026-07-07,time_exit,Long-Term
BAJAJ-AUTO,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-08,2026-05-11,2026-06-12,stop_loss,Long-Term
BAJAJ-AUTO,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-08,2026-05-11,2026-06-12,stop_loss,Long-Term
BAJFINANCE,Long-Term,2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-04-21,2026-04-22,2026-07-22,time_exit,Long-Term
BAJFINANCE,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-21,2026-04-22,2026-07-22,time_exit,Long-Term
BAJAJFINSV,Long-Term,2026-06-05,score<40,10.9,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJFINSV,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BEL,Long-Term,2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-04-02,2026-04-06,2026-07-06,time_exit,Long-Term
BEL,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-02,2026-04-06,2026-07-06,time_exit,Long-Term
BHARTIARTL,Long-Term,2026-06-05,score<40,23.6,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
